equation_id,equation_name,equation_text,symbols,units,source_id,page,attribution_class,implemented_in,test_reference,confidence,verification_status,disposition
EQ-001,sectional density,SD=(Wb/7000)/d^2,Wb;d,lb/in^2 convention,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-002,mass ratio,MR=Wc/Wb,Wc;Wb,dimensionless,SRC-POWLEY-1961-MANUAL,pp.4-5; p.9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-003,standard IMR charge,Wc=0.86*V0,Wc;V0,gr powder; gr water,SRC-POWLEY-1961-MANUAL,p.3; p.9,original_powley,src/modern_powley/original/charge.py,tests/reference/test_powley_1961_example.py,high,verified_visual_scan,active
EQ-004,4198/4227 charge,Wc=0.80*V0,Wc;V0,gr powder; gr water,SRC-POWLEY-1961-MANUAL,p.3,original_powley,src/modern_powley/original/charge.py,tests/unit/test_units_and_charge.py,high,verified_visual_scan,active
EQ-005,water volume convention,Wwater=253*Vin3,Wwater;Vin3,gr water; in3,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/units.py,tests/unit/test_units_and_charge.py,high,verified_visual_scan,active
EQ-006,net powder-space capacity,V0=Vfired-Vintrusion,V0;Vfired;Vintrusion,gr water,,manual pp. 3; 8-9; SRC-HUTTON-POWLEY-1963-WEB,unknown,,tests/provenance/test_original_coverage.py,high,unresolved,removed from original; a direct seated-bullet water-displacement fixture is documented but no original source prints this generic subtraction equation
EQ-007,cylindrical intrusion,Vintrusion=pi*(d/2)^2*s*253,d;s;Vintrusion,in; gr water,,,unknown,,none,medium,contradicted,removed from original; unsupported approximation
EQ-008,projectile travel,Ltravel=Ltip+Lbullet,Ltip;Lbullet,in,SRC-POWLEY-1961-MANUAL,p.9,original_powley,src/modern_powley/original/geometry.py,tests/reference/test_powley_1961_example.py,high,verified_visual_scan,active
EQ-009,barrel volume,Vb=pi*(deff/2)^2*Ltravel*253,deff;Ltravel;Vb,in; gr water,SRC-POWLEY-1961-MANUAL,pp.5;9,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,medium,verified_visual_scan,effective diameter input must be explicit
EQ-010,barrel volume ratio,Rb=Vb/V0,Vb;V0,dimensionless,SRC-POWLEY-1961-MANUAL,manual p.5; scan p.5,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active
EQ-011,total expansion ratio,ER=(V0+Vb)/V0=1+Vb/V0,V0;Vb,dimensionless,SRC-POWLEY-1961-MANUAL,p.5,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,medium,verified_visual_scan,active
EQ-012,Davis empirical powder-selection index,X=20+12/(Z*sqrt(A)),X;Z;A,arbitrary index,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,davis_empirical_powder_selection; not original Powley
EQ-013,reported slide-scale approximation,Q=19+12/(SD*MR^0.6),Q;SD;MR,unknown,SRC-DAVIS-WEB-TRANSCRIPTION,slide comparison,unknown,,none,low,unresolved,not implemented; exact original attribution unresolved
EQ-014,Ba target,Batarget=clamp(0.85-0.05*RC;0.45;0.90),Batarget;RC,unknown,,git prototype,unknown,src/modern_powley/experimental/ba_target.py,tests/provenance/test_experimental_guards.py,high,experimental,quarantined unvalidated
EQ-015,effective vivacity hypothesis,Baeff=Ba*(a0+(1-a0)*z2/2),Ba;a0;z2,unknown,SRC-GRT-LOAD-001,inputs only,modern_powley_experiment,src/modern_powley/experimental/ba_eff.py,tests/provenance/test_experimental_guards.py,high,experimental,quarantined; derivation unsupported
EQ-016,charge regression,Wc=0.71*V0^1.02*Ltravel^0.06,Wc;V0;Ltravel,gr; gr water; in,,committed scripts,modern_powley_experiment,src/modern_powley/experimental/charge_regression.py,tests/regression/test_committed_regression.py,high,experimental,quarantined; fitting provenance absent
EQ-017,legacy effective barrel length,Leff=Lbarrel-2.5,Leff;Lbarrel,in,,scripts/propellant_selector.py,unknown,,none,high,contradicted,rejected
EQ-018,legacy COAL barrel length,Leff=Lbarrel-COAL,Leff;Lbarrel;COAL,in,,docs/Introduction.md,unknown,,none,high,contradicted,rejected
EQ-019,efficiency proxy,Eproxy=Vmuzzle/Pmax,Vmuzzle;Pmax,fps/psi,,scripts/calculate_metrics.py,unknown,,none,high,contradicted,rejected as efficiency
EQ-020,in-sample MAE,MAE=mean(abs(actual-predicted)),,gr,,scripts/analysis.py,unknown,,tests/regression/test_committed_regression.py,high,inferred,descriptive only; not validation
EQ-021,in-sample RMSE,RMSE=sqrt(mean((actual-predicted)^2)),,gr,,scripts/analysis.py,unknown,,tests/regression/test_committed_regression.py,high,inferred,descriptive only; not validation
EQ-022,original velocity,unresolved,,,SRC-POWLEY-1961-MANUAL,scale/worked examples; non-executable observations transcribed in data/reference/original_powley_velocity_observations.csv,original_powley,src/modern_powley/original/velocity.py,tests/provenance/test_missing_sources.py; tests/provenance/test_powley_scale_recovery.py,medium,unresolved,fails explicitly; reverse scale face and interpolation rules absent
EQ-023,1961 manual muzzle-pressure reading,unresolved,,,SRC-POWLEY-1961-MANUAL,manual p.6 isolated readings; complete scale absent,original_powley,src/modern_powley/original/pressure.py,tests/provenance/test_missing_sources.py; tests/provenance/test_powley_scale_recovery.py,medium,unresolved,fails explicitly; numeric surface and interpolation rules absent
EQ-024,Howell correction,unresolved,,,SRC-HOWELL-1997,unavailable,howell,,none,low,unresolved,not implemented
EQ-025,Miller modification,unresolved,,,SRC-MILLER-1999,unavailable,miller,,none,low,unresolved,not implemented
EQ-026,legacy gross-as-net capacity,V0=Vfired,V0;Vfired,gr H2O,,scripts/propellant_selector.py,unknown,,tests/unit/test_geometry.py,high,contradicted,rejected
EQ-027,relative capacity,RC=V0/(pi*(d/2)^2*Cwater),RC;V0;d;Cwater,in,,scripts/propellant_selector.py,unknown,,tests/unit/test_geometry.py,medium,unresolved,legacy uses gross V0 and inconsistent conversion
EQ-028,nearest cartridge distance,D=sqrt((RCi-RC)^2+(SDi-SD)^2),D;RC;SD,mixed scale,,scripts/propellant_selector.py,unknown,,none,high,contradicted,rejected; axes unscaled and legacy SD invalid
EQ-029,dynamic vivacity narrative,Ba(phi)=Ba*(a0+(1-a0)*phi),Ba;phi;a0,unknown,,docs/Equations.md,unknown,,none,low,unresolved,not implemented; GRT source law absent
EQ-030,burn rate narrative,dphi/dt=Ba(phi)*p^alpha,phi;t;Ba;p;alpha,unknown,,docs/Equations.md,unknown,,none,low,unresolved,not implemented; source absent
EQ-031,circular bore area,Ab=pi*(d/2)^2,Ab;d,in2,SRC-POWLEY-1961-MANUAL,manual pp.5;9; scan pp.5;7,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active with explicit effective diameter
EQ-032,prediction error,error=actual-predicted,actual;predicted,gr,,scripts/compute_predictions.py,unknown,,tests/regression/test_committed_regression.py,high,unresolved,artifact reproduction only
EQ-033,prediction R2,R2=1-SSE/SST,SSE;SST,dimensionless,,scripts/audit_regression.py,unknown,,scripts/audit_regression.py,high,inferred,in-sample descriptive statistic only
EQ-034,IQR outlier rule,x<Q1-1.5*IQR or x>Q3+1.5*IQR,x;Q1;Q3;IQR,field unit,,scripts/analysis.py,unknown,,none,high,inferred,legacy descriptive rule; disabled
EQ-035,velocity-pressure proportionality,P proportional to v^2,P;v,unspecified,,legacy documentation,unknown,,none,low,unresolved,qualitative claim; not implemented
EQ-036,kwk cylindrical intrusion,P=198*S*D^2,P;S;D,gr H2O; in,SRC-KWK-EMULATOR,JavaScript lines 201-218,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,online emulator only; not original
EQ-037,kwk approximate bore area,A=0.773*D^2,A;D,in2,SRC-KWK-EMULATOR,JavaScript lines 218-231,online_emulator,,none,high,emulator_derived,online emulator only; not original
EQ-038,kwk bullet travel,T=E-C+S,T;E;C;S,in,SRC-KWK-EMULATOR,JavaScript lines 223-231,online_emulator,,none,high,emulator_derived,online emulator implementation
EQ-039,kwk velocity,V=8000*sqrt(I*(1-ER^(-1/4))/(G+I/3)),V;I;ER;G,ft/s,SRC-KWK-EMULATOR,JavaScript lines 259-264,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,online emulator behavior independently matches expanded later Davis equation; not original verification
EQ-040,kwk Miller-labeled F2,F2=0.024075*(9.3-MR)*(1.071+ER-0.009736*ER^2),F2;MR;ER,dimensionless,SRC-KWK-EMULATOR,JavaScript lines 289-295,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,medium,emulator_derived,exact emulator code; Miller publication absent
EQ-041,kwk Howell-labeled pressure,CUP=134.7*(V/100)^2*LD/(ER-1)*K2*F2,CUP;V;LD;ER;K2;F2,CUP,SRC-KWK-EMULATOR,JavaScript lines 302-335,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,medium,emulator_derived,exact emulator code; Howell publication absent
EQ-042,kwk K2,K2=0.53/MR+0.26,K2;MR,dimensionless,SRC-KWK-EMULATOR,JavaScript lines 318-321,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,online emulator implementation
EQ-043,kwk CUP-to-PSI,PSI=CUP*(1+CUP^2.2/1.2e11),PSI;CUP,claimed psi,SRC-KWK-EMULATOR,JavaScript lines 297-300,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,rough emulator conversion; scientific source absent
EQ-044,manual effective bore diameter,deff=(dbore+dgroove)/2,deff;dbore;dgroove,in,SRC-POWLEY-1961-MANUAL,manual p.9; scan p.7,original_powley,src/modern_powley/original/geometry.py,tests/unit/test_geometry.py,high,verified_visual_scan,active historical special-condition convention
EQ-045,kwk powder index,Q=20+12/(SD*sqrt(MR)),Q;SD;MR,emulator quickness index,SRC-KWK-EMULATOR,JavaScript lines 246-250,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator behavior; code comments say variables per Davis
EQ-046,kwk powder lookup branches,ordered branches <81;<=91;<=110;<=125;<=145;<=165;<=180;else,Q,emulator quickness index,SRC-KWK-EMULATOR,JavaScript lines 266-283,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator boundaries; not original-manual scale
EQ-047,original powder selection,unresolved,,,SRC-POWLEY-1961-MANUAL,manual pp.4;9-10; scan pp.5;7-8; SRC-POWLEY-SLIDE-PHOTO-HQ topology only,original_powley,src/modern_powley/original/powder_index.py,tests/provenance/test_missing_sources.py; tests/provenance/test_powley_scale_recovery.py,high,unresolved,fails explicitly; 1985 photograph establishes operating topology but not exact 1961 boundaries or revision identity
EQ-048,kwk spitzer bullet-length estimate,B=0.20+3.67*SD,B;SD,in,SRC-KWK-EMULATOR,JavaScript lines 193-198,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator behavior; source model not established
EQ-049,kwk round-nose bullet-length estimate,B=0.08+3.67*SD,B;SD,in,SRC-KWK-EMULATOR,JavaScript lines 193-198,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator behavior; source model not established
EQ-050,kwk seating depth,S=C+B-L,S;C;B;L,in,SRC-KWK-EMULATOR,JavaScript lines 201-209,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator geometry
EQ-051,kwk total expansion ratio,ER=(T*0.773*D^2+W/252.4)/(W/252.4),ER;T;D;W,dimensionless,SRC-KWK-EMULATOR,JavaScript lines 218-232,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator approximations
EQ-052,kwk load-density switch,I=0.86*W; if Q>145 then I=0.80*W,I;W;Q,gr,SRC-KWK-EMULATOR,JavaScript lines 246-253,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,Q is not recomputed after switch
EQ-053,kwk positive-output rounding,round(x/n)*n,x;n,output unit,SRC-KWK-EMULATOR,JavaScript lines 121-129;255-264,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,JavaScript Math.round behavior
EQ-054,kwk target-CUP velocity inverse,V=100*sqrt(CUP/K2/F2*(ER-1)/0.86/134.7),V;CUP;K2;F2;ER,ft/s,SRC-KWK-EMULATOR,JavaScript lines 344-365,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator behavior with fixed LD 0.86
EQ-055,kwk kinetic energy,KE=0.5*(G/7000)/32.2*V^2,KE;G;V,ft-lb,SRC-KWK-EMULATOR,JavaScript line 337,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,exact emulator arithmetic
EQ-056,kwk efficiency,EFF=100*KE/(I*185),EFF;KE;I,percent,SRC-KWK-EMULATOR,JavaScript line 338,online_emulator,src/modern_powley/later/emulator.py,tests/reference/test_archived_emulator.py,high,emulator_derived,emulator energy efficiency; unrelated to Ba_eff
EQ-057,manual small charge-change heuristic,deltaV%=deltaW%; deltaP%=2*deltaW%,V;P;W,percent,SRC-POWLEY-1961-MANUAL,manual p.11; scan p.8,original_powley,,none,high,verified_visual_scan,documented only; manual limits to small changes and excludes maximum loads
EQ-058,manual lettered-powder charge change,Wnew=1.05*Windicated for F;D;B procedures,Wnew;Windicated,gr,SRC-POWLEY-1961-MANUAL,manual pp.10-11; scan p.8,original_powley,,none,high,verified_visual_scan,documented only; depends on unavailable original slide selection
EQ-059,manual dividing-line selection rule,left powder; use right if ER<5.5,ER,dimensionless,SRC-POWLEY-1961-MANUAL,manual pp.9-10; scan pp.7-8,original_powley,,none,high,verified_visual_scan,documented only; physical scale boundary required
EQ-060,manual ballistic efficiency,efficiency=100*bullet_energy/powder_energy,efficiency;energies,percent,SRC-POWLEY-1961-MANUAL,manual pp.4-5; scan p.5,original_powley,,none,medium,verified_visual_scan,documented example relationship; not Ba_eff
EQ-061,Davis seating depth,S=C+B-L,S;C;B;L,in,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,active later formulation
EQ-062,Davis flat-base displacement,P=198*S*D^2,P;S;D,gr H2O; in,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,printed 198 retained
EQ-063,Davis boat-tail correction,K=66*H*(2*D^2-D*J-J^2),K;H;D;J,gr H2O; in,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,final J^2 repaired from damaged OCR by visual report and geometry
EQ-064,Davis flat-base loaded capacity,W=F-P,W;F;P,gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later geometry
EQ-065,Davis boat-tail loaded capacity,W=F-P+K,W;F;P;K,gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later geometry
EQ-066,Davis bullet travel,T=E+S-C,T;E;S;C,in,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,printed sequence preserved
EQ-067,Davis powder-chamber volume,U=W/252.4,U;W,in3; gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,printed 252.4 retained
EQ-068,Davis effective bore volume,Q=0.773*T*D^2,Q;T;D,in3; in,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,printed 0.773 includes stated approximate land-area reduction
EQ-069,Davis expansion ratio,R=(Q+U)/U,R;Q;U,dimensionless,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later formulation
EQ-070,Davis 4198/4227 initial charge,I=0.80*W,I;W,gr powder; gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,explicit powder required; automatic circular procedure unresolved
EQ-071,Davis other IMR initial charge,I=0.86*W,I;W,gr powder; gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,limited to evidenced Davis table powders
EQ-072,Davis mass ratio,A=I/G,A;I;G,dimensionless,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,capital I repaired from OCR numeral 1
EQ-073,Davis sectional density,Z=G/(7000*D^2),Z;G;D,lb/in2 convention,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later formulation
EQ-074,Davis velocity fraction M,M=1/R^(1/4),M;R,dimensionless,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,fourth-root OCR corrected
EQ-075,Davis velocity fraction N,N=1-M,N;M,dimensionless,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later formulation
EQ-076,Davis effective moving weight,Y=G+I/3,Y;G;I,gr,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,missing I repaired from OCR
EQ-077,Davis printed velocity,V=8000*sqrt(I*N/Y),V;I;N;Y,ft/s,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,printed by Davis and attributed by Davis to Powley; no original-source verification
EQ-078,Davis pressure K1,K1=0.0142*I*F2*V^2,K1;I;F2;V,mixed historical pressure intermediate,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,active printed pressure sequence
EQ-079,Davis pressure K2,K2=0.53*(G/I)+0.26,K2;G;I,dimensionless,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,active printed pressure sequence
EQ-080,Davis pressure K3,K3=W*(R-1),K3;W;R,gr H2O,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,active printed pressure sequence
EQ-081,Davis historical crusher pressure,pressure=K1*K2/K3,K1;K2;K3,historical crusher-gage psi label,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_transcription.py,high,user_reviewed_access_restricted_primary,not modern piezoelectric PSI; explicit F2 required
EQ-082,Davis loading-density pressure scaling,P2=P1*(LD2/LD1)^2,P1;P2;LD1;LD2,historical crusher pressure,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,approximate Davis rule; not general pressure model
EQ-083,Davis target loading-density charge,I2=W2*LDtarget,I2;W2;LDtarget,gr,SRC-DAVIS-1981,pp.138-144; exact page unresolved,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,high,user_reviewed_access_restricted_primary,active later arithmetic
EQ-084,Davis Table 4 R interpolation,F2=F2low+t*(F2high-F2low),F2;R,dimensionless factor,SRC-DAVIS-1981-TABLE4,Table 4 worked example,davis,src/modern_powley/later/davis.py,tests/unit/test_davis.py,medium,pending_retained_primary_visual_verification,linear R-axis interpolation established by worked example
EQ-085,Davis Table 4 A interpolation,F2=F2left+t*(F2right-F2left),F2;A,dimensionless factor,SRC-DAVIS-1981-TABLE4,Table 4,unknown,src/modern_powley/later/davis.py,tests/unit/test_davis.py,medium,inferred,explicit historical implementation interpretation; no extrapolation
EQ-086,Davis Table 4 bilinear interpolation,linear A interpolation followed by linear R interpolation,F2;A;R,dimensionless factor,SRC-DAVIS-1981-TABLE4,Table 4,unknown,src/modern_powley/later/davis.py,tests/unit/test_davis.py,medium,inferred,explicit historical implementation interpretation; no extrapolation
EQ-087,Davis derived travel simplification,T=E+B-L,T;E;B;L,in,SRC-DAVIS-1981,derived from printed equations,unknown,,none,high,inferred,project-derived algebra; not implementation replacement
EQ-088,Davis derived pressure numerator,I*(0.53*G/I+0.26)=0.53*G+0.26*I,I;G,gr,SRC-DAVIS-1981,derived from printed equations,unknown,,none,high,inferred,project-derived algebra; documented only
EQ-089,Davis derived pressure denominator,W*(R-1)=252.4*Q,W;R;Q,gr H2O,SRC-DAVIS-1981,derived from printed equations,unknown,,none,high,inferred,project-derived algebra; documented only
EQ-090,Davis Table 3 powder-class lookup,tabulated X intervals mapped to powder classes,X,arbitrary powder-selection index,SRC-DAVIS-1981-DERIVATIVE-REPRINT,Powder-Selection Index table,davis,src/modern_powley/later/davis.py,tests/reference/test_davis_equation_reconciliation.py,medium,verified_secondary,secondary derivative supports labels and intervals; adjacent endpoint inclusivity remains unresolved pending primary page images
EQ-091,separate Powley psi Calculator,unresolved,,,SRC-HUTTON-POWLEY-1963-WEB,1963 derivative sequence; later manual insert; 1965 device photograph,original_powley,,tests/provenance/test_original_completion_audit.py,medium,unresolved,outside numbered 1961 baseline; original article table complete instructions scale geometry and pressure-unit definition remain absent
